STATION,NAME,DATE,avg_wind_speed,PRCP,SNOW,SNWD,temp_avg,temp_max,temp_min,WSF2,WSF5,fog_icefog,heavy_fog,thunder,sleet_hail_pellets,hail,glaze_rime,smoke_haze,blowing_snow
USW00014732,"LA GUARDIA AIRPORT, NY US",1/1/15,13.87,0,0,0,31,39,27,23,31.1,,,,,,,,
USW00014732,"LA GUARDIA AIRPORT, NY US",1/2/15,13.65,0,0,0,39,42,35,25.1,32,,,,,,,,
USW00014732,"LA GUARDIA AIRPORT, NY US",1/3/15,9.62,0.67,0,0,35,41,31,16.1,19.9,1,,,,,,1,
USW00014732,"LA GUARDIA AIRPORT, NY US",1/4/15,10.96,0.31,0,0,45,57,41,30,44.1,1,1,,,,,,
USW00014732,"LA GUARDIA AIRPORT, NY US",1/5/15,20.8,0,0,0,42,50,22,32,49,,,,,,,,
USW00014732,"LA GUARDIA AIRPORT, NY US",1/6/15,8.28,0.05,1,0,21,22,18,21,25.9,1,,,,,,1,
USW00014732,"LA GUARDIA AIRPORT, NY US",1/7/15,19.91,0,0,1,22,25,10,36,46.1,,,,,,,1,
USW00014732,"LA GUARDIA AIRPORT, NY US",1/8/15,14.32,0,0,0,13,21,8,28,36,,,,,,,,
USW00014732,"LA GUARDIA AIRPORT, NY US",1/9/15,16.11,0.12,1.8,0,24,33,19,32,40.9,1,1,,,,,1,
USW00014732,"LA GUARDIA AIRPORT, NY US",1/10/15,14.32,0,0,1,22,24,17,21.9,30,,,,,,,,
USW00014732,"LA GUARDIA AIRPORT, NY US",1/11/15,8.72,0,0,0,25,37,19,18.1,23,,,,,,,,
USW00014732,"LA GUARDIA AIRPORT, NY US",1/12/15,5.82,0.39,0,0,36,39,34,14.1,18.1,1,,,,,,,
USW00014732,"LA GUARDIA AIRPORT, NY US",1/13/15,14.09,0,0,0,30,36,17,23.9,32,,,,,,,,
USW00014732,"LA GUARDIA AIRPORT, NY US",1/14/15,10.07,0,0,0,22,32,17,17,23,,,,,,,,
USW00014732,"LA GUARDIA AIRPORT, NY US",1/15/15,9.62,0,0,0,29,34,25,17,23,,,,,,,,
USW00014732,"LA GUARDIA AIRPORT, NY US",1/16/15,18.12,0,0,0,34,42,20,36.9,46.1,,,,,,,,
USW00014732,"LA GUARDIA AIRPORT, NY US",1/17/15,10.07,0,0,0,22,30,17,21.9,25.9,,,,,,,,
USW00014732,"LA GUARDIA AIRPORT, NY US",1/18/15,5.37,1.98,0,0,33,43,29,18.1,23,1,,,,,1,,
